day,month,year,dn_1,dn_2,dn_3,dn_4,dn_5,grand_number
23,7,2026,8,26,33,39,42,7
20,7,2026,19,21,25,36,41,4
16,7,2026,3,9,23,29,42,7
13,7,2026,5,24,32,37,46,5
9,7,2026,7,8,14,16,24,6
6,7,2026,5,16,19,31,40,5
2,7,2026,15,22,30,31,49,2
29,6,2026,9,14,15,41,42,6
25,6,2026,8,23,24,40,42,3
22,6,2026,1,3,11,19,31,3
18,6,2026,25,31,32,33,41,3
15,6,2026,12,18,19,27,39,7
11,6,2026,4,6,12,21,38,2
8,6,2026,3,11,19,36,37,5
4,6,2026,5,25,29,30,45,3
1,6,2026,5,12,27,29,43,6
28,5,2026,7,11,14,33,43,6
25,5,2026,5,8,14,35,43,6
21,5,2026,2,10,13,26,46,4
18,5,2026,6,7,28,36,48,3
14,5,2026,19,21,37,46,47,3
11,5,2026,17,19,20,30,31,2
7,5,2026,4,13,14,24,29,1
4,5,2026,1,16,21,32,41,4
30,4,2026,15,21,25,43,47,7
27,4,2026,5,6,17,33,48,4
23,4,2026,16,22,28,29,49,5
20,4,2026,1,29,31,42,49,7
16,4,2026,18,21,34,37,47,6
13,4,2026,2,11,19,29,30,4
9,4,2026,11,20,35,41,45,3
6,4,2026,8,17,29,33,38,4
2,4,2026,1,21,31,35,46,4
30,3,2026,9,12,28,42,48,2
26,3,2026,2,4,10,22,31,6
23,3,2026,8,17,28,37,46,7
19,3,2026,14,16,29,37,43,2
16,3,2026,18,19,26,30,43,6
12,3,2026,4,22,28,29,49,5
9,3,2026,8,13,14,16,37,2
5,3,2026,1,20,21,27,42,7
2,3,2026,5,15,28,31,34,7
26,2,2026,3,10,13,43,46,5
23,2,2026,21,22,36,39,41,4
19,2,2026,1,19,33,46,48,3
16,2,2026,1,24,25,38,47,2
12,2,2026,13,26,28,34,41,5
9,2,2026,2,14,25,38,47,2
5,2,2026,4,22,25,33,49,1
2,2,2026,5,14,40,43,49,1
29,1,2026,6,12,21,37,39,4
26,1,2026,4,6,28,45,48,2
22,1,2026,12,23,25,46,49,7
19,1,2026,10,17,25,32,41,3
15,1,2026,11,15,18,26,36,2
12,1,2026,5,17,19,35,45,2
8,1,2026,2,13,19,26,36,7
5,1,2026,11,30,38,40,43,6
1,1,2026,1,5,7,38,47,1
29,12,2025,6,22,27,32,47,4
25,12,2025,24,30,33,38,44,3
22,12,2025,13,25,36,41,44,5
18,12,2025,4,5,31,36,47,4
15,12,2025,5,12,31,44,46,3
11,12,2025,20,22,28,33,41,1
8,12,2025,6,23,31,32,37,6
4,12,2025,11,12,36,37,42,2
1,12,2025,4,24,43,44,45,5
27,11,2025,5,8,21,36,43,2
24,11,2025,8,26,27,33,47,2
20,11,2025,2,5,8,36,46,6
